"awc","k1","k2","alpha","bf_max","flo_min","bed_K","cn2_mult","lat_time","esco","epco","fall_tmp","melt_tmp","melt_max","melt_min","melt_lag","surlag","orgn_min","n_uptake","p_uptake","n_perc","p_perc","p_soil","p_avail","rsd_decomp","denit_exp","denit_frac","nse_flow","nse_nitrate","nse_nitrite","nse_phos","kge_flow","kge_nitrate","kge_nitrite","kge_phos","rmse_flow","rmse_nitrate","rmse_nitrite","rmse_phos","sim","cdf"
0.289650987,12.52252258,18.24050197,0.037649752,7.441082097,1.05223222,0.844704788,1.389714521,18.5287543,0.621599077,0.419305834,-2.119949327,3.677336506,0.167940864,0.090660423,0.170688217,0.320582948,0.040578942,97.08479722,8.794102818,0.714691631,16.09722956,160.5665276,0.626895022,0.059013361,1.705210348,1.016852123,0.231342002,-0.95777089,-1.335731759,0.040069591,0.601743496,-0.020198585,-0.417629239,-0.243461589,0.51589605,225.5827922,6.844668782,62.30421862,15639,0.2
0.236422865,6.859266958,18.92868636,0.158036197,5.203379542,0.304828145,0.346902431,1.349605815,75.07890466,0.880502851,0.247728996,-2.868798473,-4.562107336,8.862892322,3.7508304,0.648979838,0.279894985,0.006525251,25.61649876,4.404200893,0.628258093,11.54629711,196.2726292,0.09695901,0.029522327,2.048066725,1.101074273,0.193947661,-0.934789461,-1.423474754,0.029272543,0.559511205,-0.060458185,-0.496170386,-0.266496913,0.52829591,224.2548742,6.972045364,62.65362966,1033,0.4
0.258441409,10.33205149,5.819770554,0.833451621,6.417216819,2.601832365,0.062206473,0.822983152,69.01139339,0.980276363,0.170960454,4.089650768,-1.697944766,0.042461865,0.016306123,0.771665817,22.23567272,0.037277848,68.49894712,27.16443539,0.734468256,15.79588957,145.6403902,0.055012543,0.071209612,6.77328994,1.316853274,-0.486441516,-0.603242922,-4.471787781,0.048559705,0.334124348,0.063229865,-1.004262806,-0.303696039,0.717413493,204.138397,10.47624332,62.02808153,9750,0.6
0.243642262,12.6249502,17.97180467,0.360555325,5.79329633,1.951350477,0.698422483,0.620200854,65.0068274,0.074468048,0.480695557,4.361150214,2.851655874,0.12361726,0.091144953,0.927993346,8.798216599,0.003911308,31.74781976,76.61529304,0.447351944,11.78185305,123.4006702,0.666701596,0.049762838,5.704594131,1.350392657,-0.936692477,-0.837799353,-1.383794961,0.05070136,0.164724654,0.018803224,-0.230733003,-0.306886439,0.81889074,218.561711,6.914732803,61.95823082,16449,0.8
0.13483122,8.114324975,8.534444555,0.345429172,1.542070371,1.873470868,0.223547479,1.276180347,77.197944,0.042769118,0.09330118,-0.207721363,-4.628647724,1.154455857,0.236905718,0.036405162,2.146087947,0.011905015,54.44081712,2.590003074,0.228397736,13.65248592,114.0725237,0.450378272,0.08623071,0.177008866,0.102018353,0.028063033,-0.92869434,-2.649033456,0.18489177,0.155793011,0.229363145,-0.687055334,0.157118014,0.580115778,223.9013631,8.555194289,57.41233602,10032,1
