hydrology.hyd: written by SWAT+ editor v2.3.3 on 2025-06-04 11:50 for SWAT+ rev.60.5.7
name                 lat_ttime       lat_sed       can_max          esco          epco   orgn_enrich   orgp_enrich       cn3_swf       bio_mix         perco      lat_orgn      lat_orgp        pet_co       latq_co  
hyd041                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd042                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd043                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd044                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd045                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd046                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd047                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd048                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd049                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd050                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd051                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd052                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd053                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd054                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd055                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd056                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd057                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd058                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd059                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd060                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd061                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd062                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd063                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd064                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd065                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd066                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd067                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd068                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd069                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd070                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd071                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd072                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd073                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd074                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd075                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd076                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd077                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd078                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd079                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd080                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
