filter,till,till_date,fert_comp,spr_fert,fert_date,sum_fert,fert_app,cover,TN_mean,TN_min,TN_max,TDP_mean,TDP_min,TDP_max,CY_mean,CY_min,CY_max
1,No Till,NA,28-10-10,1000,1-May,1000,Broadcast,Winter Rye,86.04817936,12.90173396,295.1078442,7.547017188,2.384693112,16.27178006,3.449802826,1.281603306,4.31220824
3,No Till,NA,28-10-10,1000,1-May,1000,Broadcast,Winter Rye,80.22165078,11.07440573,295.1078442,7.090901063,2.017106565,16.27178006,3.449802826,1.281603306,4.31220824
5,No Till,NA,28-10-10,1000,1-May,1000,Broadcast,Winter Rye,77.70418622,10.36024893,295.1078442,6.910990808,1.891859178,16.27178006,3.449802826,1.281603306,4.31220824
0,No Till,NA,28-10-10,1000,1-May,500,Injection,None,92.44910986,15.48131017,263.9525131,6.228171627,2.932695444,8.923697909,3.449802826,1.281603306,4.31220824
1,No Till,NA,28-10-10,1000,1-May,500,Injection,None,54.82449677,8.078369891,192.5659819,3.839890734,1.200443398,6.668553676,3.449802826,1.281603306,4.31220824
3,No Till,NA,28-10-10,1000,1-May,500,Injection,None,50.8679782,7.100152544,186.508369,3.472834507,0.780135857,6.502485789,3.449802826,1.281603306,4.31220824
5,No Till,NA,28-10-10,1000,1-May,500,Injection,None,49.45494915,6.740647609,183.8766546,3.407177875,0.739039533,6.434202161,3.449802826,1.281603306,4.31220824
0,No Till,NA,28-10-10,1000,1-Feb,1000,Injection,None,139.6465476,16.0095806,388.7618179,9.478510715,3.985058738,14.11972195,3.449802826,1.281603306,4.31220824
1,No Till,NA,28-10-10,1000,1-Feb,1000,Injection,None,83.41994169,9.502654555,290.7286877,5.701940344,1.629350766,10.08047275,3.449802826,1.281603306,4.31220824
3,No Till,NA,28-10-10,1000,1-Feb,1000,Injection,None,77.61626569,8.861279195,282.3416244,5.150049128,1.086423827,10.08047275,3.449802826,1.281603306,4.31220824
5,No Till,NA,28-10-10,1000,1-Feb,1000,Injection,None,75.51421875,8.597677222,278.5784622,5.045713043,1.03008116,10.08047275,3.449802826,1.281603306,4.31220824
0,No Till,NA,28-10-10,500,1-May,1000,Injection,None,95.54673282,17.39842154,266.8868432,7.742273854,2.945993046,12.67833601,3.449802826,1.281603306,4.31220824
1,No Till,NA,28-10-10,500,1-May,1000,Injection,None,56.20656182,7.983699037,195.435862,4.604267312,1.206574264,9.223016524,3.449802826,1.281603306,4.31220824
3,No Till,NA,28-10-10,500,1-May,1000,Injection,None,52.3969625,6.978654052,191.1818062,4.181504712,0.783150719,9.223016524,3.449802826,1.281603306,4.31220824
5,No Till,NA,28-10-10,500,1-May,1000,Injection,None,50.92844224,6.607783734,191.1818062,4.093708577,0.741751906,9.223016524,3.449802826,1.281603306,4.31220824
0,No Till,NA,28-10-10,1000,1-May,1000,Injection,None,126.2674685,19.09909898,368.4523243,9.271959836,3.847070902,14.05966174,3.449802826,1.281603306,4.31220824
1,No Till,NA,28-10-10,1000,1-May,1000,Injection,None,74.44932938,9.0071662,268.5784309,5.589521721,1.574966396,10.07866323,3.449802826,1.281603306,4.31220824
3,No Till,NA,28-10-10,1000,1-May,1000,Injection,None,69.21482838,7.943416469,260.1055737,5.063096542,1.022946599,10.07866323,3.449802826,1.281603306,4.31220824
5,No Till,NA,28-10-10,1000,1-May,1000,Injection,None,67.27795844,7.545569896,256.3336482,4.960929264,0.968620392,10.07866323,3.449802826,1.281603306,4.31220824
0,No Till,NA,28-10-10,500,1-May,500,Broadcast,Winter Rye,77.25474483,15.20067543,187.8031803,6.698790422,3.488540963,11.43653873,3.449741564,1.281575151,4.31220824
1,No Till,NA,28-10-10,500,1-May,500,Broadcast,Winter Rye,44.25011232,8.814494388,149.3933334,3.829633834,1.230928045,8.475660571,3.449741564,1.281575151,4.31220824
3,No Till,NA,28-10-10,500,1-May,500,Broadcast,Winter Rye,41.30135832,7.513710307,149.3933334,3.601341201,1.039332372,8.475660571,3.449741564,1.281575151,4.31220824
5,No Till,NA,28-10-10,500,1-May,500,Broadcast,Winter Rye,40.04915905,7.036671656,149.3933334,3.51176718,0.975673229,8.475660571,3.449741564,1.281575151,4.31220824
0,No Till,NA,28-10-10,500,1-May,500,Injection,Winter Rye,62.02660136,12.44825116,162.5416093,4.69871736,2.032227436,7.543166833,3.449741553,1.281575095,4.31220824
1,No Till,NA,28-10-10,500,1-May,500,Injection,Winter Rye,36.79356648,7.053830566,119.4846489,2.854641319,0.831600299,5.393805387,3.449741553,1.281575095,4.31220824
3,No Till,NA,28-10-10,500,1-May,500,Injection,Winter Rye,34.24204488,6.136569264,115.8712339,2.591169607,0.5407509,5.393805387,3.449741553,1.281575095,4.31220824
5,No Till,NA,28-10-10,500,1-May,500,Injection,Winter Rye,33.30934317,5.804095219,114.2687788,2.540026592,0.512171818,5.393805387,3.449741553,1.281575095,4.31220824
0,No Till,NA,28-10-10,500,1-May,500,Injection,None,62.02660136,12.44825116,162.5416093,4.69871736,2.032227436,7.543166833,3.449741553,1.281575095,4.31220824
1,No Till,NA,28-10-10,500,1-May,500,Injection,None,36.79356648,7.053830566,119.4846489,2.854641319,0.831600299,5.393805387,3.449741553,1.281575095,4.31220824
3,No Till,NA,28-10-10,500,1-May,500,Injection,None,34.24204488,6.136569264,115.8712339,2.591169607,0.5407509,5.393805387,3.449741553,1.281575095,4.31220824
5,No Till,NA,28-10-10,500,1-May,500,Injection,None,33.30934317,5.804095219,114.2687788,2.540026592,0.512171818,5.393805387,3.449741553,1.281575095,4.31220824
0,No Till,NA,28-10-10,250,1-May,1000,Broadcast,Winter Rye,88.63365605,15.19195549,228.2562373,8.308615316,4.201859797,13.92529132,3.449707086,1.281603306,4.31220824
1,No Till,NA,28-10-10,250,1-May,1000,Broadcast,Winter Rye,51.45174153,8.941037752,199.125374,4.733849811,1.527022553,10.32138902,3.449707086,1.281603306,4.31220824
3,No Till,NA,28-10-10,250,1-May,1000,Broadcast,Winter Rye,48.17894496,7.860343222,199.125374,4.450599556,1.291908958,10.32138902,3.449707086,1.281603306,4.31220824
5,No Till,NA,28-10-10,250,1-May,1000,Broadcast,Winter Rye,46.77992111,7.432134093,199.125374,4.338608852,1.211746684,10.32138902,3.449707086,1.281603306,4.31220824
0,No Till,NA,28-10-10,250,1-May,1000,Injection,Winter Rye,80.99146818,15.19195549,217.526816,6.976031826,2.494837517,11.98646238,3.449706896,1.281603306,4.31220824
1,No Till,NA,28-10-10,250,1-May,1000,Injection,Winter Rye,47.77857295,7.473119609,178.9719538,4.11078919,1.021418068,8.785994131,3.449706896,1.281603306,4.31220824
3,No Till,NA,28-10-10,250,1-May,1000,Injection,Winter Rye,44.66059017,6.497131174,178.9719538,3.740015618,0.663368219,8.785994131,3.449706896,1.281603306,4.31220824
5,No Till,NA,28-10-10,250,1-May,1000,Injection,Winter Rye,43.43859993,6.139766807,178.9719538,3.65925997,0.628400635,8.785994131,3.449706896,1.281603306,4.31220824
0,No Till,NA,28-10-10,250,1-May,1000,Injection,None,80.99146818,15.19195549,217.526816,6.976031826,2.494837517,11.98646238,3.449706896,1.281603306,4.31220824
1,No Till,NA,28-10-10,250,1-May,1000,Injection,None,47.77857295,7.473119609,178.9719538,4.11078919,1.021418068,8.785994131,3.449706896,1.281603306,4.31220824
3,No Till,NA,28-10-10,250,1-May,1000,Injection,None,44.66059017,6.497131174,178.9719538,3.740015618,0.663368219,8.785994131,3.449706896,1.281603306,4.31220824
5,No Till,NA,28-10-10,250,1-May,1000,Injection,None,43.43859993,6.139766807,178.9719538,3.65925997,0.628400635,8.785994131,3.449706896,1.281603306,4.31220824
0,No Till,NA,28-10-10,500,1-Feb,1000,Injection,Winter Rye,102.6132754,15.18577106,277.0112886,7.844983354,3.014091387,12.70824864,3.449704555,1.281603306,4.31220824
1,No Till,NA,28-10-10,500,1-Feb,1000,Injection,Winter Rye,61.01675197,8.787141065,206.4056326,4.660261068,1.23366136,9.222711929,3.449704555,1.281603306,4.31220824
3,No Till,NA,28-10-10,500,1-Feb,1000,Injection,Winter Rye,56.90628645,7.746588225,200.4199787,4.224627899,0.815086595,9.222711929,3.449704555,1.281603306,4.31220824
5,No Till,NA,28-10-10,500,1-Feb,1000,Injection,Winter Rye,55.35966328,7.320509496,197.8129092,4.135777946,0.772126665,9.222711929,3.449704555,1.281603306,4.31220824
0,No Till,NA,28-10-10,500,1-Feb,1000,Injection,None,102.6132754,15.18577106,277.0112886,7.844983354,3.014091387,12.70824864,3.449704555,1.281603306,4.31220824
