filter,tilling,tilling_date,NP_ratio,spring_fertilizer,spring_fertilizer_date,summer_fertilizer,fertilizer_injection,cover_crop,scenario,management_template,TN,TP,TDP,crop_yield
20,TRUE,1,28_10_10,140.11,2,0,       inject,TRUE,36,management_schedule_4.txt,3.21722023767125,0.515519491438122,0.222435213547522,1.6461004875
0,TRUE,15,28_10_10,140.11,2,0,       inject,TRUE,37,management_schedule_4.txt,6.64498714269889,1.08918500538379,0.358893476002637,1.6462436125
100,TRUE,15,28_10_10,140.11,2,0,       inject,TRUE,38,management_schedule_4.txt,3.57622423894724,0.557056689172564,0.235712040602029,1.6462436125
33.33333,TRUE,15,28_10_10,140.11,2,0,       inject,TRUE,39,management_schedule_4.txt,3.31162661829915,0.526666539926965,0.226433329704218,1.6462436125
20,TRUE,15,28_10_10,140.11,2,0,       inject,TRUE,40,management_schedule_4.txt,3.21697655396367,0.51563984038597,0.222588551746666,1.6462436125
0,TRUE,1,dairy_fr,140.11,2,0,       inject,TRUE,41,management_schedule_4.txt,6.57206367697817,0.898325430309447,0.171908879785068,1.3975401125
100,TRUE,1,dairy_fr,140.11,2,0,       inject,TRUE,42,management_schedule_4.txt,3.49865689075305,0.420577855280272,0.102390231913241,1.3975401125
33.33333,TRUE,1,dairy_fr,140.11,2,0,       inject,TRUE,43,management_schedule_4.txt,3.23383365693908,0.394441185927139,0.0972171562068283,1.3975401125
20,TRUE,1,dairy_fr,140.11,2,0,       inject,TRUE,44,management_schedule_4.txt,3.1387425634694,0.385093728109636,0.0950542894733327,1.3975401125
0,TRUE,15,dairy_fr,140.11,2,0,       inject,TRUE,45,management_schedule_4.txt,6.57165948103004,0.89820726912045,0.172142016012769,1.3977148625
100,TRUE,15,dairy_fr,140.11,2,0,       inject,TRUE,46,management_schedule_4.txt,3.49847859245789,0.420616900998376,0.102498677285009,1.3977148625
33.33333,TRUE,15,dairy_fr,140.11,2,0,       inject,TRUE,47,management_schedule_4.txt,3.23357301318344,0.394462899978237,0.0973108412946584,1.3977148625
20,TRUE,15,dairy_fr,140.11,2,0,       inject,TRUE,48,management_schedule_4.txt,3.13871508845433,0.385142033470288,0.0951480971902616,1.3977148625
0,TRUE,1,26_13_00,280.21,2,0,       inject,TRUE,49,management_schedule_4.txt,6.73570249987547,1.39906815088081,0.668621595164092,1.8250882375
100,TRUE,1,26_13_00,280.21,2,0,       inject,TRUE,50,management_schedule_4.txt,3.66525848681409,0.79070844912663,0.469313895928172,1.8250882375
33.33333,TRUE,1,26_13_00,280.21,2,0,       inject,TRUE,51,management_schedule_4.txt,3.40048788957266,0.754474538662901,0.454173199846314,1.8250882375
