filter,tilling,tilling_date,NP_ratio,spring_fertilizer,spring_fertilizer_date,summer_fertilizer,fertilizer_injection,cover_crop,scenario,management_template,TN,TP,TDP,crop_yield
0,TRUE,1,26_13_00,0,2,0,       inject,TRUE,1,management_schedule_4.txt,19.8528049276683,1.33039817813267,0.558373163960865,7.023041375
100,TRUE,1,26_13_00,0,2,0,       inject,TRUE,2,management_schedule_4.txt,19.8528049276683,1.33039817813267,0.558373163960865,7.023041375
33.33333,TRUE,1,26_13_00,0,2,0,       inject,TRUE,3,management_schedule_4.txt,19.8528049276683,1.33039817813267,0.558373163960865,7.023041375
20,TRUE,1,26_13_00,0,2,0,       inject,TRUE,4,management_schedule_4.txt,19.8528049276683,1.33039817813267,0.558373163960865,7.023041375
0,TRUE,15,26_13_00,0,2,0,       inject,TRUE,5,management_schedule_4.txt,19.8752593476637,1.33067936529996,0.561979149556047,7.024244625
100,TRUE,15,26_13_00,0,2,0,       inject,TRUE,6,management_schedule_4.txt,19.8752593476637,1.33067936529996,0.561979149556047,7.024244625
33.33333,TRUE,15,26_13_00,0,2,0,       inject,TRUE,7,management_schedule_4.txt,19.8752593476637,1.33067936529996,0.561979149556047,7.024244625
20,TRUE,15,26_13_00,0,2,0,       inject,TRUE,8,management_schedule_4.txt,19.8752593476637,1.33067936529996,0.561979149556047,7.024244625
0,TRUE,1,28_10_10,0,2,0,       inject,TRUE,9,management_schedule_4.txt,19.8528049276683,1.33039817813267,0.558373163960865,7.023041375
100,TRUE,1,28_10_10,0,2,0,       inject,TRUE,10,management_schedule_4.txt,19.8528049276683,1.33039817813267,0.558373163960865,7.023041375
33.33333,TRUE,1,28_10_10,0,2,0,       inject,TRUE,11,management_schedule_4.txt,19.8528049276683,1.33039817813267,0.558373163960865,7.023041375
20,TRUE,1,28_10_10,0,2,0,       inject,TRUE,12,management_schedule_4.txt,19.8528049276683,1.33039817813267,0.558373163960865,7.023041375
0,TRUE,15,28_10_10,0,2,0,       inject,TRUE,13,management_schedule_4.txt,19.8752593476637,1.33067936529996,0.561979149556047,7.024244625
100,TRUE,15,28_10_10,0,2,0,       inject,TRUE,14,management_schedule_4.txt,19.8752593476637,1.33067936529996,0.561979149556047,7.024244625
33.33333,TRUE,15,28_10_10,0,2,0,       inject,TRUE,15,management_schedule_4.txt,19.8752593476637,1.33067936529996,0.561979149556047,7.024244625
20,TRUE,15,28_10_10,0,2,0,       inject,TRUE,16,management_schedule_4.txt,19.8752593476637,1.33067936529996,0.561979149556047,7.024244625
0,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,17,management_schedule_4.txt,19.8528049276683,1.33039817813267,0.558373163960865,7.023041375
100,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,18,management_schedule_4.txt,19.8528049276683,1.33039817813267,0.558373163960865,7.023041375
33.33333,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,19,management_schedule_4.txt,19.8528049276683,1.33039817813267,0.558373163960865,7.023041375
20,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,20,management_schedule_4.txt,19.8528049276683,1.33039817813267,0.558373163960865,7.023041375
0,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,21,management_schedule_4.txt,19.8752593476637,1.33067936529996,0.561979149556047,7.024244625
100,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,22,management_schedule_4.txt,19.8752593476637,1.33067936529996,0.561979149556047,7.024244625
33.33333,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,23,management_schedule_4.txt,19.8752593476637,1.33067936529996,0.561979149556047,7.024244625
20,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,24,management_schedule_4.txt,19.8752593476637,1.33067936529996,0.561979149556047,7.024244625
