filter,tilling,tilling_date,NP_ratio,spring_fertilizer,spring_fertilizer_date,summer_fertilizer,fertilizer_injection,cover_crop,scenario,management_template,TN,TP,TDP,crop_yield
0,TRUE,1,26_13_00,0,2,0,       inject,TRUE,1,management_schedule_4.txt,16.9674669407144,1.31845460541536,0.450440681581121,5.317529125
100,TRUE,1,26_13_00,0,2,0,       inject,TRUE,2,management_schedule_4.txt,13.1338758523434,0.968023518643749,0.342169893411331,5.317529125
33.33333,TRUE,1,26_13_00,0,2,0,       inject,TRUE,3,management_schedule_4.txt,12.8887711617409,0.955832343103487,0.336209062549437,5.317529125
20,TRUE,1,26_13_00,0,2,0,       inject,TRUE,4,management_schedule_4.txt,12.7813284026159,0.950677170950274,0.333721992420771,5.317529125
0,TRUE,15,26_13_00,0,2,0,       inject,TRUE,5,management_schedule_4.txt,16.986546202486,1.31843396998425,0.453282097123907,5.318183875
100,TRUE,15,26_13_00,0,2,0,       inject,TRUE,6,management_schedule_4.txt,13.152504684508,0.967970710557042,0.344141318259148,5.318183875
33.33333,TRUE,15,26_13_00,0,2,0,       inject,TRUE,7,management_schedule_4.txt,12.9050882895519,0.956084564440994,0.338240065766434,5.318183875
20,TRUE,15,26_13_00,0,2,0,       inject,TRUE,8,management_schedule_4.txt,12.7979398168823,0.950792280884742,0.335584116356553,5.318183875
0,TRUE,1,28_10_10,0,2,0,       inject,TRUE,9,management_schedule_4.txt,16.9674669407144,1.31845460541536,0.450440681581121,5.317529125
100,TRUE,1,28_10_10,0,2,0,       inject,TRUE,10,management_schedule_4.txt,13.1338758523434,0.968023518643749,0.342169893411331,5.317529125
33.33333,TRUE,1,28_10_10,0,2,0,       inject,TRUE,11,management_schedule_4.txt,12.8887711617409,0.955832343103487,0.336209062549437,5.317529125
20,TRUE,1,28_10_10,0,2,0,       inject,TRUE,12,management_schedule_4.txt,12.7813284026159,0.950677170950274,0.333721992420771,5.317529125
0,TRUE,15,28_10_10,0,2,0,       inject,TRUE,13,management_schedule_4.txt,16.986546202486,1.31843396998425,0.453282097123907,5.318183875
100,TRUE,15,28_10_10,0,2,0,       inject,TRUE,14,management_schedule_4.txt,13.152504684508,0.967970710557042,0.344141318259148,5.318183875
33.33333,TRUE,15,28_10_10,0,2,0,       inject,TRUE,15,management_schedule_4.txt,12.9050882895519,0.956084564440994,0.338240065766434,5.318183875
20,TRUE,15,28_10_10,0,2,0,       inject,TRUE,16,management_schedule_4.txt,12.7979398168823,0.950792280884742,0.335584116356553,5.318183875
0,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,17,management_schedule_4.txt,16.9674669407144,1.31845460541536,0.450440681581121,5.317529125
100,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,18,management_schedule_4.txt,13.1338758523434,0.968023518643749,0.342169893411331,5.317529125
33.33333,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,19,management_schedule_4.txt,12.8887711617409,0.955832343103487,0.336209062549437,5.317529125
20,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,20,management_schedule_4.txt,12.7813284026159,0.950677170950274,0.333721992420771,5.317529125
0,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,21,management_schedule_4.txt,16.986546202486,1.31843396998425,0.453282097123907,5.318183875
100,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,22,management_schedule_4.txt,13.152504684508,0.967970710557042,0.344141318259148,5.318183875
33.33333,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,23,management_schedule_4.txt,12.9050882895519,0.956084564440994,0.338240065766434,5.318183875
20,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,24,management_schedule_4.txt,12.7979398168823,0.950792280884742,0.335584116356553,5.318183875
0,TRUE,1,26_13_00,140.11,2,0,       inject,TRUE,25,management_schedule_4.txt,29.6201227038579,1.73748380344561,0.903751865559034,6.8805405
100,TRUE,1,26_13_00,140.11,2,0,       inject,TRUE,26,management_schedule_4.txt,23.7708150928122,1.31897513327501,0.716635467026566,6.8805405
33.33333,TRUE,1,26_13_00,140.11,2,0,       inject,TRUE,27,management_schedule_4.txt,23.3539538774971,1.30302577082817,0.706549613947364,6.8805405
20,TRUE,1,26_13_00,140.11,2,0,       inject,TRUE,28,management_schedule_4.txt,23.1649062796542,1.29613232269161,0.702075459034315,6.8805405
0,TRUE,15,26_13_00,140.11,2,0,       inject,TRUE,29,management_schedule_4.txt,29.6596779373714,1.73808019131848,0.907229438656906,6.881595
100,TRUE,15,26_13_00,140.11,2,0,       inject,TRUE,30,management_schedule_4.txt,23.7977806925095,1.31981080892992,0.719415103298967,6.881595
33.33333,TRUE,15,26_13_00,140.11,2,0,       inject,TRUE,31,management_schedule_4.txt,23.3694334323595,1.30386718940991,0.709206722472828,6.881595
20,TRUE,15,26_13_00,140.11,2,0,       inject,TRUE,32,management_schedule_4.txt,23.1840363055437,1.29686108494339,0.704740144851714,6.881595
0,TRUE,1,28_10_10,140.11,2,0,       inject,TRUE,33,management_schedule_4.txt,30.612284775057,1.64714515350901,0.812991876091946,6.94453625
100,TRUE,1,28_10_10,140.11,2,0,       inject,TRUE,34,management_schedule_4.txt,24.6040405415971,1.24369019283425,0.641093498275957,6.94453625
33.33333,TRUE,1,28_10_10,140.11,2,0,       inject,TRUE,35,management_schedule_4.txt,24.1657153289515,1.2286059328702,0.631771934988049,6.94453625
20,TRUE,1,28_10_10,140.11,2,0,       inject,TRUE,36,management_schedule_4.txt,23.9704656811477,1.22218649052055,0.627763217936185,6.94453625
0,TRUE,15,28_10_10,140.11,2,0,       inject,TRUE,37,management_schedule_4.txt,30.6506913089057,1.64774620932537,0.816623460431696,6.945568
100,TRUE,15,28_10_10,140.11,2,0,       inject,TRUE,38,management_schedule_4.txt,24.6269904414168,1.2441607871308,0.643674982806065,6.945568
33.33333,TRUE,15,28_10_10,140.11,2,0,       inject,TRUE,39,management_schedule_4.txt,24.1862307294229,1.22906860841347,0.634341772401065,6.945568
20,TRUE,15,28_10_10,140.11,2,0,       inject,TRUE,40,management_schedule_4.txt,23.9922617106984,1.22248227557179,0.630209984961719,6.945568
0,TRUE,1,dairy_fr,140.11,2,0,       inject,TRUE,41,management_schedule_4.txt,17.5456780250967,1.37500125611385,0.511569530221612,5.482170375
100,TRUE,1,dairy_fr,140.11,2,0,       inject,TRUE,42,management_schedule_4.txt,13.6055539261642,1.01597479928026,0.393256193701306,5.482170375
33.33333,TRUE,1,dairy_fr,140.11,2,0,       inject,TRUE,43,management_schedule_4.txt,13.3503790591888,1.00340023097324,0.386814136315618,5.482170375
20,TRUE,1,dairy_fr,140.11,2,0,       inject,TRUE,44,management_schedule_4.txt,13.2379478973346,0.997945654588387,0.384027182713377,5.482170375
0,TRUE,15,dairy_fr,140.11,2,0,       inject,TRUE,45,management_schedule_4.txt,17.5740400516731,1.37476290945457,0.514349721760375,5.48254175
100,TRUE,15,dairy_fr,140.11,2,0,       inject,TRUE,46,management_schedule_4.txt,13.6249053548716,1.01568224288847,0.395201230560518,5.48254175
33.33333,TRUE,15,dairy_fr,140.11,2,0,       inject,TRUE,47,management_schedule_4.txt,13.36990137667,1.00327051414072,0.388737443994316,5.48254175
20,TRUE,15,dairy_fr,140.11,2,0,       inject,TRUE,48,management_schedule_4.txt,13.2565821592401,0.997843865378057,0.38588874695239,5.48254175
0,TRUE,1,26_13_00,280.21,2,0,       inject,TRUE,49,management_schedule_4.txt,42.7322049428675,2.17011812835891,1.31671655403299,7.312401375
100,TRUE,1,26_13_00,280.21,2,0,       inject,TRUE,50,management_schedule_4.txt,34.7325846444571,1.67604310731977,1.05986034270187,7.312401375
33.33333,TRUE,1,26_13_00,280.21,2,0,       inject,TRUE,51,management_schedule_4.txt,34.1150926092243,1.65600727216855,1.04603759518993,7.312401375
20,TRUE,1,26_13_00,280.21,2,0,       inject,TRUE,52,management_schedule_4.txt,33.8457234646695,1.64709865694528,1.03969773132537,7.312401375
0,TRUE,15,26_13_00,280.21,2,0,       inject,TRUE,53,management_schedule_4.txt,42.7814141456435,2.17269571261029,1.32171064508384,7.313095625
100,TRUE,15,26_13_00,280.21,2,0,       inject,TRUE,54,management_schedule_4.txt,34.751071832539,1.67702475166458,1.06295675519972,7.313095625
33.33333,TRUE,15,26_13_00,280.21,2,0,       inject,TRUE,55,management_schedule_4.txt,34.1464051331188,1.65752565045252,1.04927442007539,7.313095625
20,TRUE,15,26_13_00,280.21,2,0,       inject,TRUE,56,management_schedule_4.txt,33.872917585517,1.64860331813871,1.04300637356064,7.313095625
0,TRUE,1,28_10_10,280.21,2,0,       inject,TRUE,57,management_schedule_4.txt,44.6246940093072,1.9914933495899,1.13551235198968,7.3272045
100,TRUE,1,28_10_10,280.21,2,0,       inject,TRUE,58,management_schedule_4.txt,36.3302144234318,1.52637017548525,0.908556102033167,7.3272045
33.33333,TRUE,1,28_10_10,280.21,2,0,       inject,TRUE,59,management_schedule_4.txt,35.6979497692522,1.50790527585947,0.896294997215498,7.3272045
20,TRUE,1,28_10_10,280.21,2,0,       inject,TRUE,60,management_schedule_4.txt,35.411343102562,1.49998759589851,0.89086923999378,7.3272045
0,TRUE,15,28_10_10,280.21,2,0,       inject,TRUE,61,management_schedule_4.txt,44.6685544802298,1.99308069164276,1.13981489606545,7.327893875
100,TRUE,15,28_10_10,280.21,2,0,       inject,TRUE,62,management_schedule_4.txt,36.35099415719,1.52731978138376,0.911671505206629,7.327893875
33.33333,TRUE,15,28_10_10,280.21,2,0,       inject,TRUE,63,management_schedule_4.txt,35.7158807989944,1.50918190623426,0.89930616794599,7.327893875
20,TRUE,15,28_10_10,280.21,2,0,       inject,TRUE,64,management_schedule_4.txt,35.4285003204832,1.501140471447,0.893882140890593,7.327893875
0,TRUE,1,dairy_fr,280.21,2,0,       inject,TRUE,65,management_schedule_4.txt,18.135725232196,1.42365830235355,0.564439331637998,5.639440375
100,TRUE,1,dairy_fr,280.21,2,0,       inject,TRUE,66,management_schedule_4.txt,14.0775920753567,1.05660912401602,0.43691177544558,5.639440375
33.33333,TRUE,1,dairy_fr,280.21,2,0,       inject,TRUE,67,management_schedule_4.txt,13.8129709972117,1.04371133795913,0.430004772243339,5.639440375
20,TRUE,1,dairy_fr,280.21,2,0,       inject,TRUE,68,management_schedule_4.txt,13.6969535931775,1.03812289246219,0.426988202961664,5.639440375
0,TRUE,15,dairy_fr,280.21,2,0,       inject,TRUE,69,management_schedule_4.txt,18.1580828639272,1.42394121492322,0.567251338556305,5.63953675
100,TRUE,15,dairy_fr,280.21,2,0,       inject,TRUE,70,management_schedule_4.txt,14.0999665462537,1.05684961798712,0.438914969448474,5.63953675
33.33333,TRUE,15,dairy_fr,280.21,2,0,       inject,TRUE,71,management_schedule_4.txt,13.8350048641979,1.043976608826,0.431941288007727,5.63953675
20,TRUE,15,dairy_fr,280.21,2,0,       inject,TRUE,72,management_schedule_4.txt,13.7172320519304,1.03825213328377,0.428914545603461,5.63953675
0,TRUE,1,26_13_00,560.43,2,0,       inject,TRUE,73,management_schedule_4.txt,68.5992629865959,2.96106539860953,2.09813162816371,7.359785625
100,TRUE,1,26_13_00,560.43,2,0,       inject,TRUE,74,management_schedule_4.txt,56.3458119708106,2.33602506749022,1.7134177583084,7.359785625
33.33333,TRUE,1,26_13_00,560.43,2,0,       inject,TRUE,75,management_schedule_4.txt,55.3672105810881,2.30831866513193,1.69200760926498,7.359785625
20,TRUE,1,26_13_00,560.43,2,0,       inject,TRUE,76,management_schedule_4.txt,54.9329069370587,2.29670841452271,1.68302908765586,7.359785625
0,TRUE,15,26_13_00,560.43,2,0,       inject,TRUE,77,management_schedule_4.txt,68.6417984448139,2.9655063755522,2.10485831552144,7.360353
100,TRUE,15,26_13_00,560.43,2,0,       inject,TRUE,78,management_schedule_4.txt,56.3634203545274,2.33786549988878,1.71740733735258,7.360353
33.33333,TRUE,15,26_13_00,560.43,2,0,       inject,TRUE,79,management_schedule_4.txt,55.3886874141818,2.31144838673177,1.6968366752607,7.360353
20,TRUE,15,26_13_00,560.43,2,0,       inject,TRUE,80,management_schedule_4.txt,54.9486293876846,2.29962313883495,1.68768929147712,7.360353
0,TRUE,1,28_10_10,560.43,2,0,       inject,TRUE,81,management_schedule_4.txt,75.5244206978925,2.60781536379378,1.74488159334796,7.359785625
100,TRUE,1,28_10_10,560.43,2,0,       inject,TRUE,82,management_schedule_4.txt,61.7873893617631,2.03965461399467,1.41704730481285,7.359785625
33.33333,TRUE,1,28_10_10,560.43,2,0,       inject,TRUE,83,management_schedule_4.txt,60.6780526219583,2.01563072757351,1.39931967170655,7.359785625
20,TRUE,1,28_10_10,560.43,2,0,       inject,TRUE,84,management_schedule_4.txt,60.1852794468019,2.00522951696076,1.39155019009391,7.359785625
0,TRUE,15,28_10_10,560.43,2,0,       inject,TRUE,85,management_schedule_4.txt,75.5092495030502,2.61093194724433,1.75028388721358,7.360353
100,TRUE,15,28_10_10,560.43,2,0,       inject,TRUE,86,management_schedule_4.txt,61.7604183737315,2.0418949559085,1.4214367933723,7.360353
33.33333,TRUE,15,28_10_10,560.43,2,0,       inject,TRUE,87,management_schedule_4.txt,60.6515942922461,2.01886373051083,1.40425201903976,7.360353
20,TRUE,15,28_10_10,560.43,2,0,       inject,TRUE,88,management_schedule_4.txt,60.1613198454535,2.00806000602489,1.39612615866707,7.360353
0,TRUE,1,dairy_fr,560.43,2,0,       inject,TRUE,89,management_schedule_4.txt,19.3020199050375,1.51490701247973,0.662340279960577,5.930052875
100,TRUE,1,dairy_fr,560.43,2,0,       inject,TRUE,90,management_schedule_4.txt,15.0261423588065,1.13323178386847,0.517829513357262,5.930052875
33.33333,TRUE,1,dairy_fr,560.43,2,0,       inject,TRUE,91,management_schedule_4.txt,14.7417433845113,1.1195232300257,0.509955785420833,5.930052875
20,TRUE,1,dairy_fr,560.43,2,0,       inject,TRUE,92,management_schedule_4.txt,14.6175543341544,1.11339829551359,0.506474411211212,5.930052875
0,TRUE,15,dairy_fr,560.43,2,0,       inject,TRUE,93,management_schedule_4.txt,19.3386856728595,1.51517039797455,0.66537476846705,5.929711
100,TRUE,15,dairy_fr,560.43,2,0,       inject,TRUE,94,management_schedule_4.txt,15.0508695770213,1.13328775699703,0.519936014656795,5.929711
33.33333,TRUE,15,dairy_fr,560.43,2,0,       inject,TRUE,95,management_schedule_4.txt,14.7686867375382,1.11950769333866,0.51209204912037,5.929711
20,TRUE,15,dairy_fr,560.43,2,0,       inject,TRUE,96,management_schedule_4.txt,14.6432632204091,1.11360383283757,0.508605072173425,5.929711
