filter,tilling,tilling_date,NP_ratio,spring_fertilizer,spring_fertilizer_date,summer_fertilizer,fertilizer_injection,cover_crop,scenario,management_template,TN,TP,TDP,crop_yield
0,TRUE,1,26_13_00,0,2,0,       inject,TRUE,1,management_schedule_4.txt,15.078707959735,1.97329203814459,0.844241316166076,7.177725375
100,TRUE,1,26_13_00,0,2,0,       inject,TRUE,2,management_schedule_4.txt,7.37919958222543,0.918960323691584,0.426971386181152,7.177725375
33.33333,TRUE,1,26_13_00,0,2,0,       inject,TRUE,3,management_schedule_4.txt,6.82987676476698,0.86860320868735,0.39966596416903,7.177725375
20,TRUE,1,26_13_00,0,2,0,       inject,TRUE,4,management_schedule_4.txt,6.59922166440219,0.847875635162609,0.387844523121592,7.177725375
0,TRUE,15,26_13_00,0,2,0,       inject,TRUE,5,management_schedule_4.txt,15.0594890729994,1.9736100569629,0.850372811198605,7.180466125
100,TRUE,15,26_13_00,0,2,0,       inject,TRUE,6,management_schedule_4.txt,7.37363582920092,0.919951391738768,0.430027767102501,7.180466125
33.33333,TRUE,15,26_13_00,0,2,0,       inject,TRUE,7,management_schedule_4.txt,6.8231811833345,0.869468342093707,0.402450723364064,7.180466125
20,TRUE,15,26_13_00,0,2,0,       inject,TRUE,8,management_schedule_4.txt,6.59327208742832,0.848671770503032,0.390567301117418,7.180466125
0,TRUE,1,28_10_10,0,2,0,       inject,TRUE,9,management_schedule_4.txt,15.078707959735,1.97329203814459,0.844241316166076,7.177725375
100,TRUE,1,28_10_10,0,2,0,       inject,TRUE,10,management_schedule_4.txt,7.37919958222543,0.918960323691584,0.426971386181152,7.177725375
33.33333,TRUE,1,28_10_10,0,2,0,       inject,TRUE,11,management_schedule_4.txt,6.82987676476698,0.86860320868735,0.39966596416903,7.177725375
20,TRUE,1,28_10_10,0,2,0,       inject,TRUE,12,management_schedule_4.txt,6.59922166440219,0.847875635162609,0.387844523121592,7.177725375
0,TRUE,15,28_10_10,0,2,0,       inject,TRUE,13,management_schedule_4.txt,15.0594890729994,1.9736100569629,0.850372811198605,7.180466125
100,TRUE,15,28_10_10,0,2,0,       inject,TRUE,14,management_schedule_4.txt,7.37363582920092,0.919951391738768,0.430027767102501,7.180466125
33.33333,TRUE,15,28_10_10,0,2,0,       inject,TRUE,15,management_schedule_4.txt,6.8231811833345,0.869468342093707,0.402450723364064,7.180466125
20,TRUE,15,28_10_10,0,2,0,       inject,TRUE,16,management_schedule_4.txt,6.59327208742832,0.848671770503032,0.390567301117418,7.180466125
0,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,17,management_schedule_4.txt,15.078707959735,1.97329203814459,0.844241316166076,7.177725375
100,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,18,management_schedule_4.txt,7.37919958222543,0.918960323691584,0.426971386181152,7.177725375
33.33333,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,19,management_schedule_4.txt,6.82987676476698,0.86860320868735,0.39966596416903,7.177725375
20,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,20,management_schedule_4.txt,6.59922166440219,0.847875635162609,0.387844523121592,7.177725375
0,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,21,management_schedule_4.txt,15.0594890729994,1.9736100569629,0.850372811198605,7.180466125
100,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,22,management_schedule_4.txt,7.37363582920092,0.919951391738768,0.430027767102501,7.180466125
33.33333,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,23,management_schedule_4.txt,6.8231811833345,0.869468342093707,0.402450723364064,7.180466125
