filter,tilling,tilling_date,NP_ratio,spring_fertilizer,spring_fertilizer_date,summer_fertilizer,fertilizer_injection,cover_crop,scenario,management_template,TN,TP,TDP,crop_yield
0,TRUE,1,26_13_00,0,2,0,       inject,TRUE,1,management_schedule_4.txt,4.594657265,0.568077984,0.087939247,1.897417875
100,TRUE,1,26_13_00,0,2,0,       inject,TRUE,2,management_schedule_4.txt,2.575734146,0.262764046,0.048889751,1.897417875
33.33333,TRUE,1,26_13_00,0,2,0,       inject,TRUE,3,management_schedule_4.txt,2.417476042,0.247701373,0.046265575,1.897417875
20,TRUE,1,26_13_00,0,2,0,       inject,TRUE,4,management_schedule_4.txt,2.360631364,0.242228231,0.045176166,1.897417875
0,TRUE,15,26_13_00,0,2,0,       inject,TRUE,5,management_schedule_4.txt,4.59413353,0.56804792,0.0881967,1.89784175
100,TRUE,15,26_13_00,0,2,0,       inject,TRUE,6,management_schedule_4.txt,2.575272907,0.262786906,0.048970234,1.89784175
33.33333,TRUE,15,26_13_00,0,2,0,       inject,TRUE,7,management_schedule_4.txt,2.416883783,0.247697808,0.046337108,1.89784175
20,TRUE,15,26_13_00,0,2,0,       inject,TRUE,8,management_schedule_4.txt,2.360282414,0.242261525,0.04524124,1.89784175
0,TRUE,1,28_10_10,0,2,0,       inject,TRUE,9,management_schedule_4.txt,4.594657265,0.568077984,0.087939247,1.897417875
100,TRUE,1,28_10_10,0,2,0,       inject,TRUE,10,management_schedule_4.txt,2.575734146,0.262764046,0.048889751,1.897417875
33.33333,TRUE,1,28_10_10,0,2,0,       inject,TRUE,11,management_schedule_4.txt,2.417476042,0.247701373,0.046265575,1.897417875
20,TRUE,1,28_10_10,0,2,0,       inject,TRUE,12,management_schedule_4.txt,2.360631364,0.242228231,0.045176166,1.897417875
0,TRUE,15,28_10_10,0,2,0,       inject,TRUE,13,management_schedule_4.txt,4.59413353,0.56804792,0.0881967,1.89784175
100,TRUE,15,28_10_10,0,2,0,       inject,TRUE,14,management_schedule_4.txt,2.575272907,0.262786906,0.048970234,1.89784175
33.33333,TRUE,15,28_10_10,0,2,0,       inject,TRUE,15,management_schedule_4.txt,2.416883783,0.247697808,0.046337108,1.89784175
20,TRUE,15,28_10_10,0,2,0,       inject,TRUE,16,management_schedule_4.txt,2.360282414,0.242261525,0.04524124,1.89784175
0,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,17,management_schedule_4.txt,4.594657265,0.568077984,0.087939247,1.897417875
100,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,18,management_schedule_4.txt,2.575734146,0.262764046,0.048889751,1.897417875
33.33333,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,19,management_schedule_4.txt,2.417476042,0.247701373,0.046265575,1.897417875
20,TRUE,1,dairy_fr,0,2,0,       inject,TRUE,20,management_schedule_4.txt,2.360631364,0.242228231,0.045176166,1.897417875
0,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,21,management_schedule_4.txt,4.59413353,0.56804792,0.0881967,1.89784175
100,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,22,management_schedule_4.txt,2.575272907,0.262786906,0.048970234,1.89784175
33.33333,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,23,management_schedule_4.txt,2.416883783,0.247697808,0.046337108,1.89784175
20,TRUE,15,dairy_fr,0,2,0,       inject,TRUE,24,management_schedule_4.txt,2.360282414,0.242261525,0.04524124,1.89784175
0,TRUE,1,26_13_00,140.11,2,0,       inject,TRUE,25,management_schedule_4.txt,4.594657265,0.568077984,0.087939247,1.897417875
100,TRUE,1,26_13_00,140.11,2,0,       inject,TRUE,26,management_schedule_4.txt,2.575734146,0.262764046,0.048889751,1.897417875
33.33333,TRUE,1,26_13_00,140.11,2,0,       inject,TRUE,27,management_schedule_4.txt,2.417476042,0.247701373,0.046265575,1.897417875
20,TRUE,1,26_13_00,140.11,2,0,       inject,TRUE,28,management_schedule_4.txt,2.360631364,0.242228231,0.045176166,1.897417875
0,TRUE,15,26_13_00,140.11,2,0,       inject,TRUE,29,management_schedule_4.txt,4.59413353,0.56804792,0.0881967,1.89784175
100,TRUE,15,26_13_00,140.11,2,0,       inject,TRUE,30,management_schedule_4.txt,2.575272907,0.262786906,0.048970234,1.89784175
33.33333,TRUE,15,26_13_00,140.11,2,0,       inject,TRUE,31,management_schedule_4.txt,2.416883783,0.247697808,0.046337108,1.89784175
20,TRUE,15,26_13_00,140.11,2,0,       inject,TRUE,32,management_schedule_4.txt,2.360282414,0.242261525,0.04524124,1.89784175
0,TRUE,1,28_10_10,140.11,2,0,       inject,TRUE,33,management_schedule_4.txt,4.81645269,0.752784652,0.273037779,2.458446
100,TRUE,1,28_10_10,140.11,2,0,       inject,TRUE,34,management_schedule_4.txt,2.797159176,0.396163183,0.182373173,2.458446
33.33333,TRUE,1,28_10_10,140.11,2,0,       inject,TRUE,35,management_schedule_4.txt,2.638764054,0.377514282,0.176180388,2.458446
20,TRUE,1,28_10_10,140.11,2,0,       inject,TRUE,36,management_schedule_4.txt,2.582146922,0.37063547,0.173628846,2.458446
0,TRUE,15,28_10_10,140.11,2,0,       inject,TRUE,37,management_schedule_4.txt,4.815638346,0.752797699,0.27326313,2.45884425
100,TRUE,15,28_10_10,140.11,2,0,       inject,TRUE,38,management_schedule_4.txt,2.796524056,0.396177134,0.182461683,2.45884425
33.33333,TRUE,15,28_10_10,140.11,2,0,       inject,TRUE,39,management_schedule_4.txt,2.638832591,0.377528845,0.176238192,2.45884425
20,TRUE,15,28_10_10,140.11,2,0,       inject,TRUE,40,management_schedule_4.txt,2.581664013,0.370656017,0.173692406,2.45884425
0,TRUE,1,dairy_fr,140.11,2,0,       inject,TRUE,41,management_schedule_4.txt,4.64128871,0.601018929,0.120854972,1.956143125
100,TRUE,1,dairy_fr,140.11,2,0,       inject,TRUE,42,management_schedule_4.txt,2.614071962,0.287776199,0.073875549,1.956143125
33.33333,TRUE,1,dairy_fr,140.11,2,0,       inject,TRUE,43,management_schedule_4.txt,2.455264703,0.272176907,0.070711553,1.956143125
20,TRUE,1,dairy_fr,140.11,2,0,       inject,TRUE,44,management_schedule_4.txt,2.398275902,0.266483989,0.06939817,1.956143125
0,TRUE,15,dairy_fr,140.11,2,0,       inject,TRUE,45,management_schedule_4.txt,4.640678739,0.600948486,0.121074055,1.95659225
100,TRUE,15,dairy_fr,140.11,2,0,       inject,TRUE,46,management_schedule_4.txt,2.614168871,0.287800645,0.073950924,1.95659225
33.33333,TRUE,15,dairy_fr,140.11,2,0,       inject,TRUE,47,management_schedule_4.txt,2.455227433,0.27216556,0.070775475,1.95659225
20,TRUE,15,dairy_fr,140.11,2,0,       inject,TRUE,48,management_schedule_4.txt,2.398523144,0.26650478,0.069459067,1.95659225
0,TRUE,1,26_13_00,280.21,2,0,       inject,TRUE,49,management_schedule_4.txt,4.594657265,0.568077984,0.087939247,1.897417875
100,TRUE,1,26_13_00,280.21,2,0,       inject,TRUE,50,management_schedule_4.txt,2.575734146,0.262764046,0.048889751,1.897417875
33.33333,TRUE,1,26_13_00,280.21,2,0,       inject,TRUE,51,management_schedule_4.txt,2.417476042,0.247701373,0.046265575,1.897417875
20,TRUE,1,26_13_00,280.21,2,0,       inject,TRUE,52,management_schedule_4.txt,2.360631364,0.242228231,0.045176166,1.897417875
0,TRUE,15,26_13_00,280.21,2,0,       inject,TRUE,53,management_schedule_4.txt,4.59413353,0.56804792,0.0881967,1.89784175
100,TRUE,15,26_13_00,280.21,2,0,       inject,TRUE,54,management_schedule_4.txt,2.575272907,0.262786906,0.048970234,1.89784175
33.33333,TRUE,15,26_13_00,280.21,2,0,       inject,TRUE,55,management_schedule_4.txt,2.416883783,0.247697808,0.046337108,1.89784175
20,TRUE,15,26_13_00,280.21,2,0,       inject,TRUE,56,management_schedule_4.txt,2.360282414,0.242261525,0.04524124,1.89784175
0,TRUE,1,28_10_10,280.21,2,0,       inject,TRUE,57,management_schedule_4.txt,5.040164567,0.912673611,0.433133537,2.86135925
100,TRUE,1,28_10_10,280.21,2,0,       inject,TRUE,58,management_schedule_4.txt,3.020293741,0.515718527,0.301965666,2.86135925
33.33333,TRUE,1,28_10_10,280.21,2,0,       inject,TRUE,59,management_schedule_4.txt,2.861804791,0.494267442,0.292975241,2.86135925
20,TRUE,1,28_10_10,280.21,2,0,       inject,TRUE,60,management_schedule_4.txt,2.805157887,0.486255568,0.289287508,2.86135925
0,TRUE,15,28_10_10,280.21,2,0,       inject,TRUE,61,management_schedule_4.txt,5.039263399,0.912947571,0.433546541,2.861677625
100,TRUE,15,28_10_10,280.21,2,0,       inject,TRUE,62,management_schedule_4.txt,3.019587721,0.515762932,0.302109537,2.861677625
33.33333,TRUE,15,28_10_10,280.21,2,0,       inject,TRUE,63,management_schedule_4.txt,2.861735389,0.494373027,0.293129289,2.861677625
20,TRUE,15,28_10_10,280.21,2,0,       inject,TRUE,64,management_schedule_4.txt,2.804603934,0.486370419,0.289431947,2.861677625
0,TRUE,1,dairy_fr,280.21,2,0,       inject,TRUE,65,management_schedule_4.txt,4.684745353,0.629364052,0.149073839,2.013653
100,TRUE,1,dairy_fr,280.21,2,0,       inject,TRUE,66,management_schedule_4.txt,2.652061572,0.308153728,0.094101503,2.013653
33.33333,TRUE,1,dairy_fr,280.21,2,0,       inject,TRUE,67,management_schedule_4.txt,2.492273744,0.291976983,0.090378607,2.013653
20,TRUE,1,dairy_fr,280.21,2,0,       inject,TRUE,68,management_schedule_4.txt,2.435031445,0.286076196,0.088839059,2.013653
0,TRUE,15,dairy_fr,280.21,2,0,       inject,TRUE,69,management_schedule_4.txt,4.684372358,0.629307341,0.14932814,2.014072875
100,TRUE,15,dairy_fr,280.21,2,0,       inject,TRUE,70,management_schedule_4.txt,2.651596327,0.308176882,0.0941751,2.014072875
